f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,class
-0.916374,-0.799314,-0.646744,-0.358563,-0.0623906,0.262607,0.581206,0.909419,1.20504,1.48158,1.55323,1.59919,1.56434,1.57366,1.41698,1.19031,0.879677,0.584661,0.274925,-0.0317024,-0.323504,-0.58738,-0.80708,-0.937359,-0.89569,-0.685559,-0.418708,-0.113538,0.189905,0.458483,0.753499,1.04236,1.34548,1.54106,1.53054,1.54647,1.57921,1.61271,1.64876,1.75151,1.57305,1.2884,1.02628,0.749594,0.47726,0.17233,-0.0944007,-0.371166,-0.652482,-0.854907,-0.404408,-0.444995,-0.577361,-0.75347,-0.919183,-1.10369,-1.27579,-1.3502,-1.26156,-1.11151,-0.945275,-0.784729,-0.609657,-0.490945,-0.449937,-0.49458,-0.565525,-0.670207,-0.788724,-0.94906,-1.0937,-1.22683,-1.33667,-1.3481,-1.19374,-1.03887,-0.912439,-0.737472,-0.550879,-0.417371,3
-0.916516,-0.828953,-0.593327,-0.325118,0.00318351,0.304235,0.594072,0.926146,1.24453,1.54616,1.65336,1.53903,1.50771,1.60369,1.58199,1.31051,1.01266,0.70753,0.389875,0.0962516,-0.203183,-0.524873,-0.794304,-0.913909,-0.904908,-0.708023,-0.476634,-0.188487,0.0966886,0.377204,0.645776,0.913474,1.1886,1.44479,1.49854,1.55228,1.46358,1.44945,1.478,1.57835,1.61782,1.41581,1.11709,0.840942,0.548339,0.259084,-0.0252176,-0.306534,-0.58083,-0.820797,-0.428819,-0.557206,-0.697216,-0.832027,-1.01392,-1.18714,-1.32513,-1.33982,-1.23692,-1.07623,-0.924337,-0.761825,-0.638186,-0.571407,-0.534573,-0.562449,-0.635695,-0.754892,-0.916152,-1.05816,-1.20139,-1.33231,-1.37772,-1.2526,-1.0723,-0.92042,-0.768466,-0.606041,-0.432562,-0.379226,3
-1.0041,-0.909027,-0.669644,-0.364507,-0.0784152,0.250989,0.553165,0.886639,1.20327,1.5512,1.7192,1.59232,1.50517,1.65492,1.67008,1.44524,1.22124,0.947131,0.658148,0.356954,0.0574447,-0.25238,-0.556479,-0.771441,-0.947231,-0.945448,-0.790388,-0.516016,-0.224591,0.0857956,0.386428,0.686779,0.984464,1.29127,1.51331,1.46868,1.43471,1.48959,1.48004,1.57703,1.74854,1.46615,1.16453,0.856885,0.555691,0.236533,-0.0730819,-0.391342,-0.678781,-0.91474,-0.502865,-0.557546,-0.69043,-0.793153,-0.933982,-1.04753,-1.18969,-1.25213,-1.18289,-1.07046,-0.942276,-0.806192,-0.637939,-0.600185,-0.543118,-0.548914,-0.580802,-0.648592,-0.698192,-0.825476,-0.981322,-1.13539,-1.27363,-1.2456,-1.1584,-1.03349,-0.865827,-0.714641,-0.61269,-0.538556,3
-0.785147,-0.713418,-0.503186,-0.277787,-0.00425504,0.277404,0.562502,0.82928,1.10426,1.37977,1.55637,1.56974,1.57473,1.57544,1.45337,1.22686,1.03832,0.778312,0.527751,0.218844,-0.0524961,-0.320807,-0.594999,-0.789692,-0.825654,-0.700266,-0.480375,-0.218052,0.0670819,0.365581,0.636102,0.914642,1.21849,1.50273,1.58435,1.49008,1.5496,1.57972,1.52162,1.61607,1.62213,1.45158,1.14043,0.846388,0.549671,0.249639,-0.0419283,-0.34278,-0.588993,-0.72894,-0.515072,-0.621962,-0.721901,-0.876586,-0.992546,-1.14903,-1.28474,-1.36861,-1.26314,-1.13839,-1.05927,-0.936571,-0.81751,-0.723558,-0.6295,-0.562761,-0.611643,-0.70588,-0.85276,-0.946765,-1.07937,-1.22179,-1.31958,-1.30767,-1.16471,-1.05362,-0.879901,-0.746779,-0.58632,-0.472124,2
-0.987018,-0.89382,-0.652028,-0.393673,-0.118531,0.203126,0.541647,0.778819,1.05223,1.29917,1.51099,1.47193,1.42499,1.5063,1.4186,1.19589,0.94407,0.647182,0.351984,0.0348898,-0.287218,-0.497312,-0.774971,-0.973836,-0.970812,-0.784924,-0.506626,-0.184612,0.118736,0.434046,0.741075,1.01336,1.32114,1.61803,1.9029,1.80769,1.58686,1.474,1.53916,1.5831,1.66573,1.46649,1.1803,0.883603,0.561364,0.258054,-0.0362057,-0.376435,-0.662525,-0.909031,-0.564013,-0.49765,-0.454028,-0.648479,-0.802407,-0.989816,-1.14299,-1.13758,-1.15899,-1.12589,-1.16093,-1.05068,-0.882365,-0.661718,-0.601664,-0.537611,-0.591411,-0.688778,-0.766371,-0.948128,-1.12557,-1.26473,-1.33651,-1.25801,-1.07126,-0.896299,-0.711087,-0.525931,-0.47305,-0.453971,2
-0.965056,-0.856844,-0.643615,-0.399235,-0.0862949,0.240657,0.559956,0.866813,1.15899,1.42731,1.6483,1.59249,1.59249,1.67594,1.53927,1.36701,1.12754,0.88962,0.602805,0.339661,0.0288459,-0.273554,-0.572758,-0.78279,-0.892851,-0.892108,-0.752743,-0.485556,-0.201816,0.0758249,0.356075,0.674163,0.942491,1.21065,1.47897,1.55569,1.49591,1.5004,1.56813,1.61633,1.71672,1.52528,1.24849,0.928842,0.635979,0.300958,-0.0212431,-0.339798,-0.622191,-0.862027,-0.387952,-0.436193,-0.612359,-0.758704,-0.93399,-1.11019,-1.25058,-1.3187,-1.26875,-1.16795,-1.02209,-0.869698,-0.727224,-0.592697,-0.542591,-0.540258,-0.602079,-0.65749,-0.751396,-0.893646,-1.04334,-1.18818,-1.31609,-1.28955,-1.16384,-0.988934,-0.817985,-0.67634,-0.519974,-0.389334,2
-0.930205,-0.819337,-0.599888,-0.310394,-0.0186802,0.300918,0.57781,0.903828,1.16732,1.48204,1.67477,1.63416,1.59648,1.67031,1.50381,1.34834,1.07214,0.781153,0.516403,0.227229,-0.05893,-0.345061,-0.616552,-0.830139,-0.955871,-0.84062,-0.615408,-0.341628,-0.0585253,0.185081,0.475232,0.739982,1.03167,1.29642,1.51972,1.58168,1.57806,1.58936,1.60694,1.70436,1.65719,1.37332,1.09922,0.825115,0.532173,0.223461,-0.0649033,-0.360916,-0.638701,-0.857326,-0.501902,-0.570873,-0.724964,-0.845784,-0.977349,-1.12364,-1.26672,-1.30064,-1.18785,-1.06259,-0.922236,-0.771704,-0.648624,-0.558773,-0.552884,-0.572883,-0.628652,-0.687994,-0.788284,-0.929256,-1.05631,-1.17627,-1.27853,-1.2754,-1.13609,-0.990957,-0.850096,-0.717693,-0.576288,-0.531349,3
-0.835527,-0.833238,-0.595444,-0.319513,-0.079386,0.249491,0.488614,0.820936,1.10507,1.42561,1.49605,1.4206,1.39443,1.49256,1.52897,1.28235,1.0318,0.791498,0.451151,0.124892,-0.14234,-0.44047,-0.673858,-0.824755,-0.861585,-0.775954,-0.520432,-0.220099,0.107469,0.428888,0.746796,1.06865,1.38811,1.57128,1.4834,1.47053,1.44742,1.44153,1.4943,1.60922,1.68619,1.52112,1.18466,0.929529,0.585432,0.27882,-0.04478,-0.342998,-0.626147,-0.790607,-0.389357,-0.5029,-0.647779,-0.808706,-1.01331,-1.19447,-1.2866,-1.39071,-1.32941,-1.22278,-1.02899,-0.847651,-0.809338,-0.642153,-0.509333,-0.477584,-0.492826,-0.604014,-0.74693,-0.938102,-1.10952,-1.29775,-1.42915,-1.36777,-1.20649,-1.0238,-0.833369,-0.652728,-0.453444,-0.363277,2
-0.83996,-0.73934,-0.545743,-0.340672,-0.0581146,0.239415,0.570959,0.842635,1.16372,1.4056,1.57605,1.53848,1.4911,1.58197,1.47593,1.29308,0.995869,0.670709,0.374975,0.0825905,-0.210867,-0.479194,-0.65582,-0.805834,-0.833001,-0.673512,-0.43265,-0.172355,0.119289,0.405696,0.733631,1.0153,1.32288,1.5927,1.58364,1.5196,1.54533,1.55143,1.57068,1.66692,1.6212,1.37303,1.0834,0.810063,0.513774,0.220353,-0.0725497,-0.351647,-0.581868,-0.768025,-0.546428,-0.635555,-0.764398,-0.898422,-1.05719,-1.22206,-1.32309,-1.30595,-1.19806,-1.02632,-0.876066,-0.765323,-0.699699,-0.616845,-0.597062,-0.548815,-0.578851,-0.73364,-0.871865,-1.02008,-1.15551,-1.27897,-1.34987,-1.262,-1.17062,-0.994526,-0.811404,-0.662186,-0.51839,-0.501661,2
-0.926225,-0.868222,-0.630997,-0.319564,-0.00868387,0.300885,0.613077,0.962718,1.2454,1.53378,1.57537,1.45336,1.44697,1.52497,1.28958,1.02208,0.813267,0.509358,0.236859,-0.0675844,-0.355961,-0.649653,-0.859593,-0.94614,-0.822592,-0.617346,-0.35748,-0.0384879,0.2624,0.541803,0.86107,1.17464,1.4694,1.65044,1.56967,1.43282,1.46371,1.59314,1.61161,1.76158,1.63456,1.35084,1.10026,0.827418,0.515744,0.211317,-0.0896916,-0.37415,-0.638314,-0.859058,-0.470518,-0.568697,-0.694523,-0.891054,-1.06587,-1.21971,-1.23198,-1.21084,-1.15258,-1.09825,-0.991718,-0.814291,-0.697301,-0.571165,-0.502272,-0.514214,-0.584557,-0.744984,-0.882804,-1.03239,-1.16146,-1.26171,-1.33301,-1.23503,-1.08481,-0.930332,-0.787093,-0.585126,-0.418813,-0.393255,3
-0.873754,-0.778367,-0.589717,-0.369026,-0.0632322,0.2341,0.553159,0.838791,1.11629,1.39921,1.63155,1.62688,1.53232,1.60038,1.6603,1.45432,1.17848,0.928832,0.652084,0.356062,0.0498012,-0.237126,-0.52053,-0.674895,-0.846847,-0.832452,-0.668104,-0.417736,-0.118206,0.177937,0.472302,0.774648,1.10139,1.41653,1.53036,1.44153,1.44168,1.54858,1.53232,1.55009,1.60474,1.37031,1.12713,0.839393,0.554664,0.261955,-0.0260563,-0.318239,-0.580984,-0.799944,-0.499511,-0.594144,-0.695042,-0.857567,-1.02336,-1.19643,-1.33798,-1.35528,-1.22291,-1.08275,-0.978912,-0.849211,-0.714013,-0.621051,-0.56004,-0.562208,-0.619922,-0.695794,-0.847916,-0.996981,-1.12816,-1.26147,-1.3613,-1.26593,-1.17223,-0.995445,-0.827559,-0.636304,-0.458299,-0.425189,3
-0.937337,-0.835604,-0.6027,-0.325175,0.000592549,0.308407,0.618487,0.935714,1.21634,1.43499,1.47217,1.43441,1.42589,1.44312,1.29129,1.08251,0.788914,0.466652,0.15785,-0.121979,-0.427973,-0.700502,-0.886887,-0.926453,-0.788252,-0.533909,-0.253963,0.0444581,0.339045,0.645213,0.914798,1.21285,1.52233,1.612,1.63175,1.48941,1.43905,1.42085,1.52775,1.69915,1.68617,1.45842,1.15804,0.870254,0.577043,0.266962,-0.0153656,-0.32655,-0.58403,-0.831982,-0.446275,-0.598129,-0.744445,-0.857081,-0.932321,-1.08015,-1.24457,-1.31278,-1.35386,-1.20392,-1.08412,-0.913613,-0.792881,-0.649141,-0.538325,-0.550797,-0.605508,-0.684621,-0.841782,-1.0051,-1.14243,-1.29095,-1.3508,-1.27827,-1.08385,-0.905827,-0.71369,-0.535168,-0.406728,-0.347098,2
-0.844701,-0.77317,-0.541282,-0.270515,0.00182286,0.309513,0.630162,0.881255,1.16126,1.42619,1.54218,1.50713,1.50628,1.52795,1.37902,1.14299,0.924382,0.66921,0.358482,0.0779858,-0.215874,-0.485556,-0.703954,-0.827748,-0.788785,-0.63119,-0.385068,-0.104678,0.202183,0.492622,0.769932,1.05334,1.34673,1.53985,1.60209,1.60783,1.50097,1.56768,1.63205,1.70067,1.64437,1.36819,1.08117,0.785653,0.499314,0.20486,-0.109947,-0.388403,-0.648016,-0.831763,-0.622522,-0.707417,-0.855557,-1.02186,-1.13981,-1.23686,-1.32427,-1.2218,-1.14236,-1.03786,-0.892608,-0.744255,-0.659658,-0.580648,-0.587532,-0.649992,-0.759679,-0.900979,-1.02964,-1.16476,-1.28073,-1.30642,-1.24257,-1.09048,-0.947569,-0.794351,-0.66822,-0.52061,-0.441282,-0.522374,2
-0.621944,-0.559808,-0.436637,-0.194482,0.0742874,0.336071,0.612759,0.892162,1.13214,1.37302,1.52176,1.59303,1.56673,1.42673,1.23967,1.03462,0.808305,0.586371,0.314124,0.0449584,-0.241318,-0.448431,-0.65215,-0.687362,-0.658853,-0.493315,-0.269317,-0.0033482,0.256144,0.5388,0.81481,1.06706,1.36564,1.50649,1.49376,1.53307,1.59784,1.65837,1.62867,1.63348,1.69768,1.44936,1.13378,0.900562,0.580687,0.285502,0.00912441,-0.264,-0.512434,-0.6696,-0.610688,-0.655516,-0.7144,-0.855813,-0.939897,-0.982264,-1.08994,-1.13585,-1.18502,-1.17795,-1.1293,-1.0541,-1.01029,-0.96388,-0.880164,-0.821195,-0.843255,-0.901574,-0.983226,-1.05269,-1.11819,-1.14594,-1.19684,-1.16481,-1.13404,-1.04842,-0.937323,-0.836043,-0.740052,-0.685919,1
-0.679859,-0.67456,-0.45317,-0.199958,-0.00642359,0.282092,0.510415,0.730958,0.965034,1.1735,1.3881,1.48775,1.48926,1.46107,1.32464,1.08599,0.897182,0.684512,0.38113,0.222354,0.0307573,-0.216429,-0.415505,-0.55136,-0.565772,-0.496497,-0.268931,0.0111072,0.297897,0.630406,0.888977,1.19033,1.51015,1.6137,1.49471,1.53831,1.45544,1.47125,1.45874,1.51591,1.56798,1.49925,1.21716,0.936331,0.666527,0.363175,0.0834404,-0.183669,-0.413506,-0.62878,-0.545274,-0.620242,-0.726728,-0.894921,-1.01691,-1.14471,-1.24923,-1.29803,-1.28752,-1.2241,-1.17057,-1.06629,-0.979577,-0.88614,-0.812777,-0.835092,-0.889592,-1.01452,-1.12315,-1.2314,-1.32761,-1.34944,-1.34105,-1.20669,-1.06868,-0.919324,-0.802241,-0.682977,-0.561806,-0.494529,1
-0.759458,-0.688579,-0.50671,-0.258376,0.0195409,0.292937,0.526501,0.769,1.00132,1.28703,1.48231,1.57877,1.56843,1.47133,1.31265,1.10681,0.882251,0.641668,0.376798,0.0730875,-0.206294,-0.472843,-0.686426,-0.714007,-0.695448,-0.487247,-0.297368,-0.0345009,0.251016,0.494054,0.780842,1.06548,1.34365,1.61149,1.60094,1.61688,1.55573,1.58889,1.61731,1.69955,1.69761,1.48812,1.17184,0.877729,0.587518,0.298082,0.00485704,-0.2891,-0.486019,-0.6658,-0.75274,-0.799462,-0.802412,-0.856949,-0.976917,-1.08011,-1.16062,-1.17515,-1.10515,-1.05339,-1.00097,-1.03232,-0.966432,-0.86498,-0.800754,-0.729703,-0.747616,-0.804435,-0.877273,-0.993711,-1.083,-1.1637,-1.22273,-1.20258,-1.1143,-1.01567,-0.903519,-0.78452,-0.707591,-0.715126,1
-0.692725,-0.68696,-0.497733,-0.236559,0.0535591,0.33796,0.66024,0.87229,1.10464,1.31976,1.49581,1.57657,1.60469,1.56919,1.40028,1.13132,0.926916,0.674843,0.460244,0.157023,-0.12633,-0.411564,-0.658229,-0.774081,-0.739252,-0.570298,-0.447728,-0.18696,0.108352,0.392944,0.680227,0.969322,1.24091,1.44031,1.59682,1.54012,1.5456,1.56014,1.58444,1.62184,1.64852,1.40457,1.17897,0.900306,0.60902,0.328812,0.0759529,-0.210664,-0.480342,-0.64577,-0.643316,-0.730247,-0.807053,-0.950444,-1.0829,-1.2221,-1.27293,-1.26934,-1.18684,-1.05257,-0.946037,-0.85427,-0.833068,-0.717644,-0.621446,-0.624853,-0.673738,-0.797214,-0.925239,-1.04162,-1.15413,-1.24101,-1.27435,-1.30207,-1.17891,-1.03992,-0.882667,-0.777417,-0.683363,-0.620589,1
-0.764424,-0.678726,-0.554354,-0.28623,0.0136472,0.329833,0.552773,0.840753,1.04299,1.30536,1.49679,1.56363,1.56903,1.48727,1.27595,1.07003,0.875145,0.636913,0.334895,0.0585509,-0.221492,-0.474778,-0.674876,-0.740415,-0.771756,-0.56478,-0.319864,-0.0386755,0.237365,0.546435,0.840537,1.12519,1.39513,1.59283,1.63609,1.5606,1.58331,1.59867,1.65209,1.68756,1.63825,1.3735,1.11243,0.817393,0.545397,0.236197,-0.0101889,-0.290945,-0.538305,-0.705742,-0.585285,-0.685345,-0.729816,-0.866128,-1.00361,-1.14686,-1.24167,-1.26555,-1.19659,-1.07027,-0.949749,-0.851355,-0.814432,-0.765116,-0.700421,-0.666354,-0.7089,-0.786854,-0.883497,-1.01743,-1.13765,-1.25408,-1.29391,-1.28566,-1.16832,-1.03878,-0.919446,-0.749651,-0.64825,-0.565991,1
-0.751717,-0.718903,-0.51767,-0.292359,0.0130358,0.29986,0.539837,0.800474,1.04294,1.3388,1.46415,1.47406,1.51901,1.39493,1.24616,0.981322,0.700026,0.397438,0.100358,-0.194317,-0.477638,-0.677057,-0.80882,-0.803207,-0.670494,-0.477512,-0.179503,0.125512,0.451545,0.754681,1.05898,1.36095,1.62199,1.68277,1.58548,1.469,1.45697,1.50171,1.56691,1.74502,1.72307,1.44304,1.15605,0.876232,0.545345,0.264113,-0.0249275,-0.300146,-0.564264,-0.721351,-0.578403,-0.6733,-0.703118,-0.823508,-0.958373,-1.08351,-1.14564,-1.15783,-1.22946,-1.19314,-1.03852,-0.944235,-0.857862,-0.714345,-0.671021,-0.694171,-0.771026,-0.88787,-1.01265,-1.15292,-1.25668,-1.33163,-1.23604,-1.14498,-1.01024,-0.8804,-0.750409,-0.594187,-0.5305,-0.495934,1
