f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,class
-0.629474,-0.670746,-0.692199,-0.718074,-0.737969,-0.761447,-0.779983,-0.822689,-0.848787,-0.857832,-0.877356,-0.877356,-0.886747,-0.878443,0.0545603,0.370702,0.601601,0.779966,1.03403,1.23446,1.29501,1.38793,1.65113,1.2782,0.965025,-7.21739,0.68803,0.607957,0.566437,0.581265,0.553091,0.58296,0.58868,0.596093,0.590162,0.567425,0.505146,0.459673,0.47806,0.424579,0.323251,0.152428,-0.0635585,-0.21255,-0.303497,0.191913,0.292747,0.340056,0.354885,0.358097,0.351424,0.334372,0.313365,0.29656,0.27061,0.247626,0.210555,0.292747,0.162363,0.0960791,0.0593055,0.0237169,-0.00791729,-0.0474592,-0.127532,-0.075633,-0.245567,-0.289162,-0.329199,-0.398893,-0.452769,-0.509513,-0.539763,-0.555184,-0.571961,-0.535017,-0.609085,-0.593639,0.0631179,0.0355796,0.0719093,0.281731,0.460859,0.696927,1
-0.210625,-0.119578,-0.145975,-0.0899059,-0.13204,-0.111512,-0.0888126,0.0306264,-0.0173021,-0.0476559,-0.10309,0.129193,0.165461,0.234257,-0.0284681,-0.0131368,0.0317192,0.084138,0.114672,0.18866,0.184315,0.173876,0.206037,0.252892,0.456699,0.557559,0.696373,0.782465,0.823813,0.918963,0.980079,0.876016,0.849829,0.778571,0.656939,0.5104,0.511472,0.666536,0.526847,0.476481,0.452408,0.491087,0.491087,0.459569,-5.75447,0.525417,0.529703,0.482497,0.437771,0.503093,0.476049,0.397503,0.371627,0.30574,0.220515,0.173012,0.131231,0.134275,0.100138,0.019471,-0.0655364,-0.162649,-0.181659,-0.303844,-0.352597,-0.476016,-0.66837,-0.734663,-0.802245,-0.846262,-0.86886,-0.831963,-0.712396,-5.75447,-0.377015,-0.303838,-0.179025,-0.0866079,0.0134942,0.0264717,0.168004,0.211251,0.232082,0.352196,2
-0.0323474,-0.0220368,0.00940252,-0.0990334,-0.0603319,-0.0114483,-0.0901972,-0.0946001,-0.0795433,-0.207232,-0.32615,-0.361747,-0.332222,0.726419,0.725674,0.876594,0.923162,0.92856,0.921646,0.942403,0.972356,0.968904,0.991549,1.02669,1.00598,1.01495,1.04946,1.06276,1.08222,1.06118,1.07704,1.06118,1.10117,1.13757,1.21126,1.27894,1.27306,1.3065,1.25247,1.35075,1.30164,1.41553,1.37842,1.44561,1.46559,1.42829,1.49546,-0.337647,-0.47085,-0.769588,-0.871604,-0.897538,-0.821571,-0.956701,-1.10774,-0.923309,-0.652715,-0.587714,-0.855983,-0.949297,-1.1322,-1.22928,-1.25654,-1.3293,-1.50147,-1.30018,-1.30504,-1.20971,-1.13621,-1.13103,-1.14555,-1.02809,-0.981082,-0.920903,-0.903733,-0.976267,-0.981082,-0.966634,-0.97747,-0.985211,-0.983494,-1.04038,-0.989763,-0.940629,2
-1.45024,-1.51109,-1.53751,-1.59275,-1.63117,-1.68041,-1.69202,-1.75606,-1.83532,-1.83772,-1.82331,-1.44944,-0.903452,-0.467778,-0.0940697,0.2806,0.487148,0.570407,0.62885,0.770552,0.811863,0.902646,0.965092,0.980303,1.08374,1.22208,1.25858,1.42478,1.51509,1.59915,1.61212,1.63197,1.60635,1.54295,1.47506,1.34697,1.37771,1.23408,1.06452,0.970238,0.919459,0.775355,0.708107,0.634453,0.54575,0.444718,0.362258,0.270992,0.203744,0.132894,0.0908634,0.0404265,0.0404274,0.0212127,-0.0300236,-0.0916679,-0.12289,-0.156514,-0.211755,-0.271798,-0.305422,-0.342889,-0.353456,-0.430312,-0.49756,-0.579218,-0.62245,-0.620849,-0.660877,-0.670484,-0.732929,-0.741335,-0.849413,-0.88744,-0.883438,-0.893045,-0.863823,-0.87343,-0.857819,0.0200123,-0.098874,0.18453,0.428306,0.72572,1
-1.03814,-1.07753,-1.10154,-1.13695,-1.17058,-1.2126,-1.23255,-1.27696,-1.33377,-1.36121,-1.39711,-1.42113,-1.43632,-1.45828,-1.45828,0.242137,1.01828,1.4975,1.87539,2.18784,1.16503,0.961797,0.994815,0.871705,0.687254,0.674189,0.678608,0.688215,0.823945,0.860177,0.796132,0.863105,0.800934,0.815025,0.816626,0.830899,0.824738,0.760266,0.733915,0.681215,0.449187,0.385728,0.334636,0.311214,0.284067,0.232895,0.170679,0.136033,0.0791857,-0.00742796,-0.0691973,-0.121643,-0.174481,-0.237566,-0.296809,-0.39768,-0.45436,-0.483074,-0.502716,-0.526626,-0.557978,-0.587622,-0.647778,-0.717268,-0.768047,-0.823584,-0.890511,-0.911875,-0.945911,-0.991384,-1.02576,-1.05319,-1.05152,-1.04358,-1.03942,-1.04038,0.231248,1.49661,2.04118,2.46844,1.32444,1.08306,1.08539,1.21659,1
-0.296329,-0.52524,-0.643229,-0.664426,-0.466136,-4.39355,-0.472768,-0.451816,-0.249817,0.0716198,0.188933,0.330158,0.485391,-4.39355,0.952312,1.07902,1.32007,1.58575,1.74687,0.899524,0.665884,0.758019,0.756728,0.754145,0.752209,0.737359,0.754146,0.778657,0.801346,0.822459,0.835321,0.830172,0.81731,0.81216,0.805208,0.789616,0.805401,0.816988,0.7309,0.651692,0.658691,0.684346,0.673467,0.66258,0.634768,0.581577,0.481494,0.353806,0.278843,0.195717,0.160399,0.107652,0.032583,-0.0325767,-0.0838588,-0.143699,-0.194014,-0.234339,-0.663733,0.0252628,0.0355759,-0.0443836,-0.22512,-0.397301,-0.559276,-0.68428,-0.799539,-0.842382,-0.981724,-1.19587,-1.30428,-1.29728,-1.25843,-1.29518,-1.20079,-1.08024,-0.943109,-0.785109,-0.595412,-0.405225,-0.281471,-0.106872,0.11478,0.375436,2
0.778537,0.748841,0.726004,0.703763,0.646384,0.672664,-1.01253,-1.01253,-1.01253,-1.01253,-1.01253,-1.01253,-1.01253,-1.01253,-1.01253,0.829229,-1.01253,0.735615,0.713929,0.679291,0.632906,0.614661,-1.01253,0.562876,0.522967,0.553991,0.69676,0.925071,1.3198,-1.01253,1.64024,1.32457,1.02574,1.01293,0.956428,0.900794,0.865057,0.838304,0.807516,0.771233,0.714915,0.661931,0.613388,0.572966,0.537726,0.736311,0.974589,1.06443,1.37193,1.6176,1.52801,1.34705,1.20106,-1.01253,1.27236,1.57884,1.50195,-1.01253,-1.01253,-1.01253,-1.01253,-1.01253,-1.01253,-1.01253,-1.01253,-1.01253,-1.01253,-1.01253,-1.01253,-1.01253,-1.01253,-1.01253,-1.01253,-1.01253,-1.01253,-1.01253,-1.01253,-1.01253,-1.01253,-1.01253,-1.01253,-1.01253,-1.01253,-1.01253,1
-0.933234,-0.962813,-0.992107,-1.01501,-1.03365,-1.05312,-1.06596,-1.07236,-1.0926,-1.10138,-1.09745,-1.09165,-0.972009,-0.683806,-0.366893,-0.0866424,0.179315,0.445549,0.68886,0.934437,1.11576,1.24861,1.35375,1.48325,1.59941,1.69345,1.74088,1.71008,1.70511,1.61226,1.5846,1.54763,1.4236,1.44572,1.43164,1.39311,1.25668,1.07058,0.728629,0.449534,0.296759,0.184285,0.0813121,-0.0286459,-0.120944,-0.179852,-0.26312,-0.326253,-0.378285,-0.422819,-0.457548,-0.518307,-0.565947,-0.619978,-0.655345,-0.691884,-0.729788,-0.76583,-0.810446,-0.857175,-0.896589,-0.937069,-0.967369,-0.997362,-1.03614,-1.05851,-1.08478,-1.11639,-1.1416,-1.16414,-1.15189,-1.04501,-0.828058,-0.537086,-0.270853,-0.0308949,0.229027,0.477585,0.636663,0.842966,0.99086,1.12455,1.19702,1.37311,1
-0.506599,-0.476512,-0.391933,-0.351531,-0.372799,-0.356689,-0.330925,-0.249535,-0.139991,-0.0387128,0.0156596,0.0700459,0.169136,0.197654,0.223266,0.249408,0.310803,0.321255,0.30035,0.279432,0.337963,0.370305,0.388028,0.424119,0.449076,0.414807,0.418572,0.379692,0.433826,0.45295,0.519828,0.456001,0.500286,0.462093,0.419959,0.344645,0.182949,0.0882014,0.0556864,0.0117129,0.0551228,0.00281192,0.00155468,-6.10871,0.079336,0.0776432,0.1479,0.205002,0.21655,0.173142,0.173842,0.139306,0.102967,0.129937,0.159824,0.142092,0.262676,0.297001,0.326827,0.402191,0.420652,0.468464,0.509617,0.512728,0.537588,0.553455,0.572765,-6.10871,0.458774,0.323344,0.254296,0.0607563,-0.330924,-0.218187,-0.254881,-0.382472,-0.358128,-0.31967,-0.206189,-0.0185759,0.0579398,0.115603,0.154354,0.177906,2
-0.408374,-0.327766,-0.342879,-1.49842,-0.219988,-0.477569,-0.625531,-0.601788,-0.490599,-0.427114,-0.492002,-0.468204,-0.466046,-0.493276,-0.138244,-0.0279999,-0.00257309,0.153289,0.0819898,0.131912,-1.48485,0.458765,0.468681,0.554983,0.707244,0.772606,0.793368,1.05159,1.16437,1.37389,1.64665,1.74789,0.992732,0.929655,1.06599,0.900182,0.897381,0.959118,0.960328,0.942281,0.999066,0.953109,0.952113,0.924052,0.897386,0.862859,0.904997,0.954915,0.878276,0.9026,0.926854,0.818276,0.774716,0.858042,0.894175,0.85488,0.800194,0.719336,0.629869,0.475476,0.2323,-0.00513731,-0.112482,-0.246948,-0.339289,-0.463168,-0.620823,-0.740216,-0.83704,-0.909267,-0.959168,-2.27503,-1.38256,-1.56776,-1.88793,-1.84986,-1.84028,-1.64287,-1.20095,-1.4552,-1.57263,-1.51806,-1.72204,-1.82647,2
