f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,class
-0.459503,-0.931099,-1.43897,-1.51152,-1.62035,-1.40269,-0.894822,0.0120922,0.483688,1.31805,1.35433,1.10039,0.519964,0.193475,-0.314397,-0.205567,-0.314397,-0.241844,0.302305,1.68081,1.68081,0.846453,0.120922,-0.27812,1
-0.953237,-1.6212,-1.37071,-1.45421,-1.45421,-1.56554,-1.14806,-0.257444,0.661004,1.18981,1.21764,1.24547,0.994985,0.605341,0.661004,0.716668,0.91149,0.521845,0.466182,0.27136,0.744499,0.299191,-0.173948,-0.507929,2
-0.82904,-1.19438,-1.50351,-1.64403,-1.58782,-1.47541,-1.44731,-0.210773,0.688524,1.27869,1.25059,1.25059,0.997658,0.660421,0.632318,0.857143,0.772834,0.604215,0.295082,0.154567,0.126464,0.210773,0.323185,-0.210773,2
-1.11898,-1.4021,-1.54366,-1.60432,-1.54366,-1.38187,-1.05831,-0.208966,0.458378,0.963942,1.00439,0.660604,0.721271,0.559491,0.599936,0.883052,0.802162,1.06505,1.1055,1.00439,0.579713,0.276375,-0.249412,-0.572973,1
-0.0526207,-0.575199,-1.09778,-1.35907,-1.44616,-1.40261,-0.967133,-0.618747,-0.836488,-0.139717,0.557054,0.600602,0.557054,0.121572,-0.357458,-0.31391,-0.531651,-0.0526207,1.47157,1.55866,1.90705,1.55866,1.12318,0.295765,1
1.20901,0.570286,-0.250926,-0.342172,-0.707155,-0.615909,-0.342172,-1.34588,-0.980892,-0.433417,0.114057,0.387795,0.296549,-0.15968,-0.433417,-0.707155,-0.524663,-0.889646,-0.707155,-0.433417,-0.250926,2.21271,2.21271,2.12146,2
-0.815954,-1.08059,-1.34522,-1.43343,-1.52164,-1.43343,-1.52164,-0.668935,0.15437,1.1835,1.33052,1.30112,1.24231,0.801252,0.801252,0.86006,0.918867,0.654233,0.477811,0.360196,-0.139668,-0.169072,0.15437,-0.110264,2
-1.23857,-1.33354,-1.50449,-1.56147,-1.54247,-1.48549,-1.01064,-0.136915,0.603852,1.00273,1.00273,0.907756,0.755804,0.527876,0.508882,0.64184,0.717816,1.0977,1.13568,0.92675,0.527876,0.299947,-0.269874,-0.573778,1
-1.03793,-1.30166,-1.46948,-1.58936,-1.61334,-1.51744,-1.0619,-0.00699278,1.21575,1.14382,1.11985,1.09587,0.975993,0.352636,0.424562,0.448537,0.448537,0.304686,0.448537,1.21575,0.664315,0.352636,-0.102894,-0.510474,1
-0.373579,-0.986632,-1.44642,-1.67632,-1.75295,-1.36979,-0.91,-0.986632,-0.220316,0.852527,1.00579,1.31232,1.23568,0.775895,0.469369,0.775895,0.929158,0.392737,0.162842,0.00957896,-0.373579,1.31232,0.929158,-0.0670526,2
-1.15915,-1.3014,-1.52493,-1.56557,-1.60622,-1.44365,-1.07787,0.0194744,0.730714,1.17778,1.17778,1.0965,1.03553,0.791678,0.710393,0.486861,0.446218,0.486861,0.263328,0.893284,0.669751,0.46654,-0.122774,-0.651123,1
-0.694919,-1.23583,-1.41613,-1.50628,-1.50628,-1.50628,-1.05553,-1.01045,-0.0638574,1.10811,1.37857,1.33349,1.10811,0.747508,0.61228,1.06304,0.927811,0.61228,0.251673,0.161522,0.0262942,0.657356,0.206598,-0.199085,2
0.984033,0.169661,-0.519423,-0.832643,-0.895287,-0.707355,-0.707355,-1.7723,-0.895287,0.482881,0.670813,0.733457,0.733457,0.420237,-0.519423,-0.644711,-0.707355,-0.769999,-0.707355,-0.268847,0.232305,2.42485,1.92369,1.17197,2
