sample_idx,y_true,y_pred,pred_correct,axp_json,intervals_json,n_constrained,coverage_convB,fsc_s,their_cov,solver_status,solver_wall_s,total_wall_s,timeout_s
106,1,1,True,"[8, 9, 17, 19, 20]","{""8"": [-0.807, true, null, true], ""9"": [0.065, true, null, true], ""17"": [-0.267, true, null, true], ""19"": [1.242, true, null, true], ""20"": [0.528, true, null, true]}",5,0.877288,3.295837,90.810000,ok,4.7187,4.7189,60
107,1,1,True,"[8, 9, 17, 19]","{""8"": [-0.807, true, null, true], ""9"": [0.065, true, null, true], ""17"": [-0.155, true, null, true], ""19"": [1.242, true, null, true]}",4,0.880556,0.000000,90.400000,ok,2.0498,2.0500,60
108,2,2,True,[19],"{""19"": [null, true, 0.661, false]}",1,0.968750,1.386294,96.790000,ok,0.0178,0.0179,60
109,1,1,True,"[8, 9, 14, 17, 19]","{""8"": [-0.807, true, null, true], ""9"": [0.065, true, null, true], ""14"": [-0.337, true, null, true], ""17"": [-0.155, true, null, true], ""19"": [1.027, true, null, true]}",5,0.859722,0.000000,92.260000,ok,0.8658,0.8659,60
110,1,1,True,"[5, 8, 9, 14, 19, 20, 21]","{""5"": [-1.508, true, null, true], ""8"": [-0.807, true, null, true], ""9"": [0.065, true, null, true], ""14"": [-0.337, true, null, true], ""19"": [1.027, true, null, true], ""20"": [0.528, true, null, true], ""21"": [null, true, 1.391, false]}",7,0.837605,3.583519,89.870000,ok,2.0756,2.0758,60
111,1,1,True,"[8, 9, 14, 17, 19]","{""8"": [-0.807, true, null, true], ""9"": [0.065, true, null, true], ""14"": [-0.337, true, null, true], ""17"": [-0.155, true, null, true], ""19"": [1.027, true, null, true]}",5,0.859722,0.000000,89.610000,ok,3.2064,3.2065,60
112,2,2,True,[19],"{""19"": [null, true, 0.661, false]}",1,0.968750,1.386294,96.600000,ok,0.0334,0.0335,60
113,1,1,True,"[0, 5, 8, 9, 14, 16, 19, 20]","{""0"": [null, true, 0.006, false], ""5"": [-1.509, true, null, true], ""8"": [-0.907, true, null, true], ""9"": [-0.025, true, null, true], ""14"": [-0.337, true, null, true], ""16"": [null, true, 0.539, false], ""19"": [1.242, true, null, true], ""20"": [0.528, true, null, true]}",8,0.826494,4.969813,85.830000,ok,0.1098,0.1100,60
114,1,1,True,"[8, 9, 14, 17, 19]","{""8"": [-0.807, true, null, true], ""9"": [0.065, true, null, true], ""14"": [-0.337, true, null, true], ""17"": [-0.155, true, null, true], ""19"": [1.027, true, null, true]}",5,0.859722,0.000000,92.990000,ok,2.1327,2.1328,60
115,2,2,True,[19],"{""19"": [null, true, 0.661, false]}",1,0.968750,1.386294,96.700000,ok,0.0223,0.0224,60
116,1,1,True,"[7, 8, 17, 19, 20]","{""7"": [-0.626, true, null, true], ""8"": [-0.807, true, null, true], ""17"": [-0.155, true, null, true], ""19"": [0.728, true, null, true], ""20"": [0.528, true, null, true]}",5,0.865482,4.682131,90.150000,ok,0.2423,0.2424,60
117,1,1,True,"[8, 9, 14, 17, 19]","{""8"": [-0.807, true, null, true], ""9"": [0.065, true, null, true], ""14"": [-0.337, true, null, true], ""17"": [-0.155, true, null, true], ""19"": [1.027, true, null, true]}",5,0.859722,0.000000,92.900000,ok,1.6874,1.6876,60
118,1,1,True,"[8, 9, 14, 17, 19]","{""8"": [-0.807, true, null, true], ""9"": [0.065, true, null, true], ""14"": [-0.337, true, null, true], ""17"": [-0.155, true, null, true], ""19"": [1.027, true, null, true]}",5,0.859722,0.000000,92.130000,ok,2.7290,2.7291,60
119,1,1,True,"[5, 8, 9, 17, 19, 20]","{""5"": [-1.509, true, null, true], ""8"": [-0.807, true, null, true], ""9"": [0.065, true, null, true], ""17"": [-0.155, true, null, true], ""19"": [0.728, true, null, true], ""20"": [0.502, true, null, true]}",6,0.860195,5.075174,92.550000,ok,2.8626,2.8627,60
120,1,1,True,"[8, 9, 17, 19]","{""8"": [-0.807, true, null, true], ""9"": [0.065, true, null, true], ""17"": [-0.155, true, null, true], ""19"": [1.242, true, null, true]}",4,0.880556,0.000000,93.500000,ok,1.2931,1.2933,60
121,2,2,True,[19],"{""19"": [null, true, 0.661, false]}",1,0.968750,1.386294,96.560000,ok,0.0237,0.0238,60
122,2,2,True,[19],"{""19"": [null, true, 0.661, false]}",1,0.968750,1.386294,96.390000,ok,0.0716,0.0717,60
123,2,2,True,[19],"{""19"": [null, true, 0.661, false]}",1,0.968750,1.386294,96.860000,ok,0.0583,0.0584,60
124,2,2,True,[19],"{""19"": [null, true, 0.661, false]}",1,0.968750,1.386294,96.630000,ok,0.0233,0.0234,60
125,1,1,True,"[5, 6, 8, 9, 14, 19, 20]","{""5"": [-1.502, true, null, true], ""6"": [-1.137, true, null, true], ""8"": [-0.807, true, null, true], ""9"": [-0.025, true, null, true], ""14"": [-0.337, true, null, true], ""19"": [1.242, true, null, true], ""20"": [0.528, true, null, true]}",7,0.819153,3.295837,86.400000,ok,0.3855,0.3857,60
126,1,1,True,"[8, 9, 14, 17, 19]","{""8"": [-0.807, true, null, true], ""9"": [0.065, true, null, true], ""14"": [-0.337, true, null, true], ""17"": [-0.155, true, null, true], ""19"": [1.027, true, null, true]}",5,0.859722,0.000000,91.960000,ok,1.6483,1.6484,60
127,2,2,True,[19],"{""19"": [null, true, 0.661, false]}",1,0.968750,1.386294,97.050000,ok,0.0247,0.0248,60
128,1,1,True,"[8, 9, 14, 17, 19]","{""8"": [-0.807, true, null, true], ""9"": [0.065, true, null, true], ""14"": [-0.337, true, null, true], ""17"": [-0.155, true, null, true], ""19"": [1.027, true, null, true]}",5,0.859722,0.000000,92.500000,ok,2.4465,2.4467,60
129,2,2,True,[19],"{""19"": [null, true, 0.661, false]}",1,0.968750,1.386294,96.350000,ok,0.0622,0.0623,60
130,1,1,True,"[8, 9, 14, 17, 19]","{""8"": [-0.807, true, null, true], ""9"": [0.065, true, null, true], ""14"": [-0.337, true, null, true], ""17"": [-0.155, true, null, true], ""19"": [1.027, true, null, true]}",5,0.859722,0.000000,92.010000,ok,3.3634,3.3635,60
131,2,2,True,[19],"{""19"": [null, true, 0.661, false]}",1,0.968750,1.386294,96.750000,ok,0.0338,0.0339,60
132,2,2,True,[19],"{""19"": [null, true, 0.661, false]}",1,0.968750,1.386294,96.780000,ok,0.0224,0.0225,60
133,2,2,True,[19],"{""19"": [null, true, 0.661, false]}",1,0.968750,1.386294,97.100000,ok,0.0859,0.0860,60
134,1,1,True,"[8, 9, 14, 17, 19]","{""8"": [-0.807, true, null, true], ""9"": [0.065, true, null, true], ""14"": [-0.337, true, null, true], ""17"": [-0.155, true, null, true], ""19"": [1.027, true, null, true]}",5,0.859722,0.000000,92.160000,ok,1.4682,1.4683,60
135,1,1,True,"[5, 8, 9, 14, 19, 20]","{""5"": [-1.509, true, null, true], ""8"": [-0.807, true, null, true], ""9"": [0.065, true, null, true], ""14"": [-0.337, true, null, true], ""19"": [1.242, true, null, true], ""20"": [0.528, true, null, true]}",6,0.858438,3.583519,90.200000,ok,3.5126,3.5127,60
