f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,class
-0.706305,-0.226181,0.2162,-0.317727,-0.648972,-1.21935,-1.52429,-1.50806,-1.5509,-1.60045,-1.68917,-1.39539,-1.47083,-1.58177,-1.30807,-1.32204,-1.32015,-1.39458,-1.23844,-1.31798,-1.42834,-1.33032,-1.3595,-1.35054,-1.44924,-1.42489,-1.29909,-1.10661,-0.970709,-0.78747,-0.404745,-0.231629,-0.0677586,0.144922,0.422555,0.534026,0.357553,0.528215,0.461757,0.363512,0.313566,-0.0231534,0.242318,-0.00239666,0.00796212,0.0251808,-0.0460411,0.315192,0.218961,0.307664,0.531386,0.417606,0.484821,0.569052,0.704708,0.676668,0.631869,0.806654,0.67985,0.573794,0.691696,0.709515,0.682607,0.606539,0.623936,0.53699,0.793528,1.10809,1.01548,1.17374,0.679257,0.570597,0.482428,0.335324,0.415497,0.263531,0.264926,0.199649,0.229677,0.326401,0.202782,0.181532,0.231926,0.386098,0.265266,0.2469,0.338167,0.120887,0.33197,0.64159,1.53139,3.12484,3.33205,2.65374,1.15538,-0.366819,1
0.987546,2.81329,3.85026,2.37979,1.69981,0.0785763,-0.596671,0.827019,0.871196,0.809909,0.842971,0.605613,0.0890429,-0.592121,-0.640188,-0.583815,-1.02181,-0.872483,-0.97818,-1.08833,-1.06096,-1.23321,-1.39738,-1.42016,-1.28541,-1.61928,-1.67674,-1.5017,-1.6669,-1.85568,-1.92687,-1.52741,-1.61233,-1.66193,-1.22145,-1.03137,-0.562227,-0.140943,-0.0444154,0.407902,0.64344,0.527006,0.963918,1.11731,0.867149,1.1099,0.948222,0.90598,0.809299,0.863013,0.768008,0.578592,0.837274,0.422436,0.559991,0.742465,0.550676,0.525113,0.639248,0.476476,0.39719,0.545133,0.333033,0.366839,0.446472,0.0784668,0.206275,0.334301,0.108234,0.00345383,0.0280806,0.287692,0.241314,0.69449,0.673933,0.491595,0.507064,0.100986,0.255627,-0.0801521,-0.407105,-0.171394,-0.440535,-0.320627,-0.37313,-0.425489,-0.241895,-0.691436,-0.403641,-0.293845,-0.559178,-0.194394,-0.559884,-0.706378,-0.307077,-0.222496,1
0.501123,0.729131,0.83374,1.25577,2.00136,2.50403,2.4542,2.22033,2.12244,1.91652,1.38213,0.735449,0.220855,-0.0488173,0.0588933,0.370642,0.353925,-0.0569396,-0.270149,-0.0302884,0.183926,0.0341464,-0.185519,-0.176941,-0.140886,-0.338274,-0.563279,-0.531839,-0.399028,-0.470855,-0.69888,-0.86422,-0.925439,-0.920406,-0.881778,-0.943237,-1.20158,-1.46953,-1.4964,-1.4125,-1.56781,-1.91209,-1.99724,-1.7389,-1.58181,-1.7166,-1.79796,-1.62961,-1.45098,-1.42784,-1.42343,-1.31242,-1.13255,-0.929641,-0.717966,-0.538653,-0.417016,-0.294519,-0.134178,-0.0297993,-0.0471617,-0.0597064,0.0875748,0.295971,0.357272,0.305298,0.35968,0.536311,0.605986,0.521414,0.492485,0.563844,0.548699,0.459775,0.532104,0.753075,0.846518,0.755136,0.699768,0.736764,0.659629,0.458897,0.424278,0.575147,0.559188,0.353284,0.358016,0.605889,0.710963,0.61971,0.56493,0.556114,0.561819,0.658187,0.639711,0.242618,-1
2.24879,3.53504,2.88827,2.72092,0.86212,0.375577,1.6392,1.28312,1.15707,1.18507,0.595377,-0.0515087,-0.433809,-0.379166,-0.523183,-0.718304,-0.713566,-0.820406,-0.859695,-1.00771,-1.13456,-1.07146,-1.12776,-1.31596,-1.50137,-1.5052,-1.65386,-1.8809,-1.8101,-1.88143,-1.98641,-1.9803,-1.76773,-1.43166,-1.24895,-0.924514,-0.497634,-0.151274,0.196438,0.361457,0.524816,0.781852,0.85575,0.868005,0.826245,0.78078,0.725188,0.651595,0.655501,0.524954,0.568751,0.720056,0.57296,0.500841,0.495356,0.514899,0.516381,0.405982,0.422143,0.410792,0.319472,0.316479,0.307409,0.252302,0.0988172,0.058966,0.141127,0.0744387,0.0105713,0.0180085,0.0603282,-0.00528354,-0.0399928,0.085052,0.232145,0.384849,0.402899,0.393556,0.240326,0.0531038,-0.0154594,-0.195103,-0.192493,-0.349536,-0.434444,-0.23053,-0.279593,-0.39913,-0.356392,-0.251854,-0.317171,-0.351691,-0.252224,-0.275438,-0.291347,-0.205085,1
0.319309,2.0917,3.44378,2.23302,2.30241,0.621608,-0.886665,0.248081,0.498802,-0.0980052,-0.0307658,0.34472,-0.389872,-0.620124,-1.0453,-1.04104,-0.618697,-1.17841,-1.19752,-1.08806,-1.38165,-1.29718,-1.32493,-1.5013,-1.66165,-1.83339,-1.81417,-1.67412,-1.8588,-1.99863,-2.04557,-1.89677,-1.6344,-1.34299,-1.16567,-0.907222,-0.502033,-0.143911,0.203061,0.673864,0.704637,0.636868,1.11666,0.669575,1.1392,1.24329,0.777981,0.936657,0.707134,0.888689,0.920095,0.74581,0.658056,0.405393,0.829663,0.748405,0.580953,0.627084,0.480558,0.565592,0.667878,0.568856,0.450938,0.45858,0.380926,0.349509,0.398791,0.228009,0.142853,0.109838,0.204224,0.10186,0.270169,0.454589,0.689589,0.929534,0.50571,0.363763,0.446993,0.290175,0.0402984,-0.202537,-0.0834463,-0.158635,-0.0425429,-0.193428,-0.160642,-0.207915,-0.165777,-0.186022,-0.184003,-0.0260531,-0.277515,-0.128456,-0.0427318,-0.177172,1
0.630396,2.19198,3.5209,2.73004,2.13894,0.560727,-0.678532,0.737455,1.12845,0.616215,0.957967,0.847469,-0.00429785,-0.490777,-0.536578,-0.75627,-0.862373,-0.922179,-0.917244,-1.03396,-1.08887,-1.10755,-1.17725,-1.33664,-1.56294,-1.44169,-1.525,-1.80713,-1.92847,-1.94968,-1.81981,-1.75796,-1.73167,-1.67488,-1.30196,-1.04016,-0.763873,-0.341045,-0.1628,0.240126,0.312421,0.53647,1.08952,0.832788,0.819006,0.902122,0.791935,0.889632,0.772469,0.746991,0.665403,0.520132,0.701204,0.826426,0.665091,0.423088,0.683467,0.778576,0.364766,0.65741,0.908811,0.72743,0.411639,0.241511,0.415912,0.323878,0.275538,0.204093,0.222548,0.316905,0.0844971,0.353342,0.376529,0.659823,0.816202,0.680127,0.310226,-0.206234,0.0302083,0.0940152,-0.100824,-0.288887,-0.266155,-0.151929,-0.477837,-0.224961,-0.272648,-0.484068,-0.516631,-0.574304,-0.141156,-0.44796,-0.738019,-0.398605,-0.488689,-0.232315,1
1.08808,1.56404,1.36889,1.25016,1.4915,1.68259,1.22695,0.343969,-0.335317,-0.72932,-0.94972,-1.01593,-1.06604,-1.16338,-1.20747,-1.23471,-1.32484,-1.36494,-1.33123,-1.35637,-1.37051,-1.33392,-1.37816,-1.39529,-1.40096,-1.49201,-1.50298,-1.55351,-1.59886,-1.46457,-1.51641,-1.64583,-1.50752,-1.40029,-1.38662,-1.22409,-1.0356,-0.888895,-0.670867,-0.500359,-0.30487,-0.042426,0.0114764,0.101493,0.258398,0.137344,0.103185,0.259428,0.288845,0.375612,0.45706,0.246083,0.167057,0.341072,0.2623,0.220482,0.364962,0.288353,0.288279,0.402727,0.364962,0.431089,0.476954,0.340082,0.48675,0.740876,0.606622,0.645316,0.88256,0.705738,0.560697,0.538151,0.425856,0.596396,0.779363,0.732811,0.623761,0.490632,0.439449,0.254884,0.197504,0.400719,0.249044,0.209621,0.364962,0.129844,0.244322,0.585254,0.547644,1.0933,2.1508,2.38507,1.99387,1.76029,1.26922,0.399103,-1
0.526412,1.0079,1.78989,2.35801,2.30147,2.08702,1.96756,1.51405,0.750454,0.1154,-0.227835,-0.201112,0.00140603,-0.0903934,-0.363489,-0.434952,-0.421636,-0.383902,-0.243696,-0.293304,-0.598978,-0.792398,-0.79441,-0.742233,-0.700615,-0.841459,-1.11155,-1.18931,-1.17208,-1.33219,-1.51256,-1.56042,-1.62948,-1.75363,-1.81529,-1.81719,-1.81836,-1.83073,-1.81006,-1.6991,-1.54577,-1.45667,-1.43655,-1.4095,-1.26182,-0.914411,-0.526573,-0.396444,-0.501467,-0.450288,-0.131466,0.0696857,0.045052,0.124838,0.262945,0.242814,0.309024,0.459185,0.298945,0.0966227,0.321059,0.551178,0.356072,0.195364,0.415277,0.572908,0.411724,0.330657,0.453505,0.458641,0.398823,0.494015,0.607659,0.631894,0.595237,0.532747,0.604438,0.687899,0.546087,0.58014,0.940546,1.01748,0.888709,1.02905,1.03914,0.778874,0.779561,0.851211,0.659556,0.631275,0.830815,0.827094,0.739913,0.824094,0.806939,0.495051,-1
-0.36808,-0.621984,-0.601417,-0.628289,-0.611443,-0.392572,-0.322742,-0.579116,-0.896488,-0.994845,-0.810964,-0.742455,-1.01507,-1.07314,-0.856381,-1.0931,-1.5145,-1.39417,-1.19092,-1.54109,-1.88666,-1.76076,-1.91658,-2.07682,-1.73554,-1.91845,-2.19744,-1.75787,-1.51904,-1.58545,-1.39446,-1.00331,-0.690675,-0.488882,-0.1174,0.25205,0.153349,0.139852,0.550462,0.547318,0.319095,0.508509,0.624497,0.597344,0.614821,0.479705,0.469213,0.639205,0.490667,0.33889,0.511685,0.582977,0.501365,0.445529,0.490311,0.570643,0.549442,0.622683,0.703784,0.707431,0.836581,0.976711,1.04471,1.10052,1.18715,1.28501,1.25041,1.16593,1.02363,0.810853,0.691458,0.569481,0.589417,0.703484,0.682048,0.598104,0.2366,0.113982,0.394924,0.348538,0.389709,0.456544,0.153656,0.181179,0.366464,0.298353,0.556864,0.96894,1.35475,2.19015,2.46548,1.64666,0.921942,0.270196,-0.49064,-0.452513,1
0.0872531,1.25205,1.97067,1.73691,1.39421,-0.280915,-0.361118,0.822504,0.057915,0.0194685,0.218492,-0.688162,-0.935457,-0.990109,-1.08662,-1.15281,-1.24215,-1.29786,-1.31457,-1.35494,-1.47533,-1.49232,-1.5284,-1.69432,-1.78205,-1.79443,-1.87478,-2.02502,-2.01105,-2.01395,-2.16683,-2.09689,-1.84722,-1.75638,-1.53387,-1.14421,-0.803595,-0.430194,-0.122115,0.189429,0.449239,0.510238,0.649123,0.746443,0.655683,0.58777,0.608791,0.660367,0.421513,0.426544,0.604896,0.521824,0.571411,0.583672,0.576117,0.587767,0.633835,0.580232,0.4945,0.455957,0.544738,0.525924,0.382146,0.439767,0.527116,0.501408,0.419536,0.381304,0.4218,0.380758,0.441029,0.550428,0.463714,0.428007,0.725122,0.860052,1.00869,1.02439,0.86486,0.878152,0.690276,0.636795,0.702711,0.555059,0.345636,0.555024,0.740353,0.449523,0.478314,0.568354,0.654379,0.530824,0.64065,0.739179,0.519674,0.64716,1
0.470412,1.17485,2.22148,3.90386,2.788,1.00873,-0.585967,-1.11482,-0.125195,0.117041,0.201799,-0.385986,-0.208467,0.258448,-0.293463,-0.100477,-0.446619,-0.941012,-0.713266,-0.807584,-0.959763,-1.02303,-1.20766,-1.24106,-1.33551,-1.52137,-1.5576,-1.57661,-1.73485,-1.9569,-1.72956,-2.09888,-1.71485,-1.77513,-1.67445,-1.33079,-1.27377,-0.66548,-0.692121,-0.252761,0.0777247,0.0416139,0.475231,0.80392,0.918503,1.10748,0.775805,1.05279,1.01201,0.724438,0.954836,0.638204,0.803213,0.808655,0.350487,0.593081,0.813938,0.638927,0.461929,1.39502,0.240798,0.0589359,0.801723,0.060675,0.563012,0.385234,0.109234,0.470346,0.166416,0.18779,0.431082,0.334082,0.306835,0.809951,1.15222,0.540832,0.905707,0.737032,0.0558536,0.20591,-0.0157368,0.0909747,-0.221593,-0.280455,-0.448351,-0.0410178,0.0372142,-0.191963,-0.331257,-0.0570717,-0.0442187,-0.213007,-0.147139,-0.146029,0.0863431,-0.147795,1
1.35106,2.82535,2.64054,1.2186,-0.0567418,1.19695,0.724682,0.966652,0.549824,-0.988603,-1.08966,-1.37965,-1.4933,-1.53589,-1.60858,-1.79794,-1.87139,-1.80841,-1.96344,-1.86745,-1.97252,-1.974,-1.81186,-1.77609,-1.65848,-1.57909,-1.20896,-0.956518,-0.578932,0.00914074,0.413934,0.796936,1.15327,1.34663,1.5806,1.65791,1.5706,1.43571,1.371,1.18733,0.975159,0.906625,0.806311,0.796966,0.606937,0.644096,0.436388,0.417341,0.397328,0.277748,0.356362,0.223538,0.218878,0.216451,0.226281,0.0517494,0.0574902,0.140594,0.00813046,-0.0133825,0.0426852,0.0620646,-0.0579793,-0.0556618,0.062631,-0.151017,0.0164227,0.0328651,-0.142122,-0.0439547,0.00195022,-0.0232399,-0.0439926,0.0282512,-0.0373402,-0.0111563,0.00411868,0.00623608,0.227291,0.379019,0.405062,0.199519,0.291684,-0.0277994,-0.198685,-0.170738,-0.284463,-0.150614,-0.262004,-0.222424,-0.271783,-0.065168,-0.153994,-0.0995454,-0.0722547,0.015933,-1
0.475276,1.34311,2.78483,2.88777,1.55002,-0.40539,-0.0243682,1.05657,0.764721,1.00031,0.618924,-0.263102,-0.572706,-0.683809,-0.855286,-0.871818,-0.974631,-1.06803,-1.00484,-1.15649,-1.22069,-1.30673,-1.4449,-1.45111,-1.6627,-1.75359,-1.75575,-1.92703,-2.07328,-2.13047,-2.16259,-2.17022,-2.01431,-1.73488,-1.47201,-1.11952,-0.67855,-0.246053,0.172427,0.487516,0.722194,0.878963,0.857697,0.894697,0.930458,0.747758,0.676151,0.71573,0.693776,0.650563,0.656008,0.697374,0.722069,0.744808,0.689101,0.681703,0.705292,0.67209,0.666117,0.606625,0.686618,0.539065,0.474442,0.559845,0.417166,0.433726,0.400791,0.321961,0.349785,0.335431,0.227706,0.19367,0.227422,0.175519,0.347508,0.619782,0.678466,0.567691,0.452235,0.396656,0.219126,0.0424175,0.00889957,0.0359658,-0.0622485,-0.0995318,0.0421604,-0.0518571,-0.0678282,0.0101698,-0.0192636,-0.0579515,-0.0777621,0.0756384,0.0805785,-0.0297831,1
