f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,class
-1.17585,1.21415,-1.31197,-1.57764,-0.826284,-1.2978,-1.30938,0.0958241,-1.27899,0.0375243,-0.229742,-1.56357,1.5979,0.431224,-1.21195,0.460963,-0.733828,0.359115,0.643371,-0.935581,-0.879696,-0.0847579,0.225232,1.03522,1.11339,0.28677,-0.309771,-1.30549,1.79414,0.94438,-0.382734,-1.35446,0.61958,0.632771,0.0238033,-0.317751,-0.6442,1.38401,-0.604185,1.45636,1.31818,-1.16213,-0.62939,-0.271906,1.26412,0.607036,-0.314836,0.195493,1.03401,-0.717281,1.65422,-0.35809,-0.764421,-1.48963,1.25004,1.82744,0.699256,1.01087,0.677968,-0.851046,1
0.512565,0.419255,1.20841,1.02856,1.30338,-0.17835,-0.508625,-1.42343,0.227785,1.53781,-0.00422443,-1.05675,0.408211,-1.40047,-1.01524,0.0402164,-1.15694,0.849298,0.892183,-0.721656,1.29487,-1.39807,0.864612,0.347427,-0.826775,-0.910701,-0.477548,-0.538331,-1.49012,-1.39188,1.27346,-1.25655,-0.767151,-0.895202,-0.153099,0.856467,-1.0222,-1.27833,0.705669,0.843999,-1.0615,1.60432,1.53655,-0.939169,0.355757,-1.30205,-0.489357,0.40937,0.864691,-0.281044,0.431064,1.56241,1.50315,1.42592,0.135266,1.1636,-1.29061,0.919781,-1.09073,-0.199938,1
-0.275532,0.796881,1.13019,1.53672,0.444744,-0.0564888,-2.12486,-0.310393,0.640376,0.868848,-0.595982,-1.88449,-1.28493,0.125128,0.247606,0.839535,-1.48704,-1.76602,-0.658745,-0.0895537,1.36947,-1.06787,-1.0925,0.457476,0.882285,0.255848,0.814905,-0.702682,1.26726,-0.227843,-0.916433,-1.75165,1.05043,-0.393648,0.0167928,0.17859,1.54932,-1.15443,-0.835166,-0.517762,1.19225,1.41508,0.627291,-0.0905159,0.397408,-0.0055926,0.182727,-1.87483,1.21345,-1.19683,-1.54508,0.64849,-0.569492,1.08956,0.338879,0.97436,-0.328416,0.997804,1.28881,-0.0337507,1
0.935475,0.889252,-0.857636,-1.03409,-1.18507,-1.284,0.357616,0.420726,-1.3555,-0.658464,-1.12285,1.45514,-0.525952,0.682685,1.19278,-0.335465,0.986431,-1.21844,-0.0706288,-1.11949,-0.34891,1.36875,1.51094,-0.620926,-0.909667,-1.21341,0.545924,-0.908296,0.379934,1.57868,0.124967,-0.552303,1.10432,0.0514233,0.879786,1.39029,1.24108,0.409459,-0.243234,1.37351,-0.602856,-0.755912,-0.991923,-1.23385,0.121901,-0.793638,1.6406,-1.41474,-0.359666,-1.17351,0.298163,1.57147,-0.147964,1.07076,0.529925,1.12161,-1.47408,-0.516459,1.29233,-1.49699,1
1.16357,-0.544958,0.682241,-0.745874,0.248983,-1.36769,0.0270314,-1.46981,0.789101,0.421428,0.359815,1.46811,1.17336,0.418632,-1.37096,-0.900017,0.467185,-1.08787,-0.397107,0.371159,-0.412518,-0.252434,0.632862,-0.0573324,-1.04027,0.627619,-1.70784,-1.09572,-1.96561,0.774771,0.277581,-1.7781,0.12973,0.266586,1.11489,1.36274,1.20825,1.68002,0.648495,-0.546706,0.469981,-0.17738,0.910579,-1.64483,-0.101659,0.776518,-0.825344,-0.165369,0.0508311,-1.31869,0.731715,0.0363733,1.29389,1.18502,0.368585,1.55527,-1.34808,1.40243,-1.85391,-0.919273,1
-0.864947,1.45478,-0.821804,-1.57817,-0.820126,0.966642,-0.50375,1.01455,-0.0214052,-0.131429,-0.765858,-1.56875,1.32925,-0.602541,0.928587,-1.48454,0.109703,1.4344,0.223408,-0.92368,1.44355,-0.159659,-0.759795,-1.33178,-0.203398,0.118932,0.107213,-1.50373,-0.277126,1.55517,0.327856,-1.19304,1.04457,1.3692,0.266253,1.26383,-1.35503,0.63289,-1.167,1.12777,-0.177441,-0.163638,0.679011,0.28095,-1.3477,-0.322949,1.20669,-1.14034,1.49513,1.47394,-1.23597,-0.206754,0.760426,-0.020512,0.329047,0.296567,0.836048,-1.18121,-1.60003,1.35777,1
1.37376,-1.27527,0.655254,-0.0693897,-1.30873,1.25118,0.882781,-1.09974,0.709878,1.5644,0.139681,0.146904,1.09759,0.456726,1.13057,1.08152,-0.964678,-1.01705,0.105849,0.328782,-0.225987,-1.21472,-0.931909,1.45011,0.669514,1.25118,-0.888332,-0.22774,-0.858377,1.60958,-0.639561,0.352974,-0.109462,1.23246,-1.1921,-1.51937,0.301483,-0.902379,-0.0393555,-0.500198,-1.52773,-1.53934,-1.1921,-0.226969,-0.400243,-0.721378,1.55885,-0.820934,1.25323,-0.347982,1.54324,-1.08667,0.372572,-0.804177,1.45364,0.667443,-0.676526,-1.15415,1.54178,-0.700399,1
-1.26042,1.46646,-0.547978,-1.68399,0.990511,0.21297,0.727742,-0.0335111,-1.11125,0.218769,-0.495618,0.791728,0.962902,-1.0224,-0.832057,1.36274,-1.6457,-0.572118,0.0474006,-1.69919,0.026812,-0.102602,-0.0517413,1.45822,-1.66343,-0.68555,-1.02954,1.51771,-0.12666,0.259836,0.785512,-1.70153,1.0598,0.783071,0.877218,1.3923,0.0159072,0.963735,0.665588,-0.104434,0.969034,-1.55602,1.29079,-0.161399,-0.788133,-1.08414,-0.717931,-0.800369,-0.284376,-0.905838,1.32667,-0.894517,0.640421,1.54688,0.231922,1.23996,1.52731,-1.1193,-0.589238,-0.0889507,1
-1.34333,0.190683,-0.91543,0.493999,0.0528069,1.32418,-1.48409,-0.455041,0.660807,0.218277,-0.628208,1.62494,-0.323341,-0.634353,-0.576367,-0.500523,0.157826,-0.229608,-0.0919753,0.50775,0.0233272,0.948455,-1.33885,-1.80563,0.736864,-0.86651,-0.380536,1.00744,-1.45069,1.19077,0.821226,1.0278,-1.77019,0.358587,1.7476,-1.83858,-0.481874,0.872276,-0.538947,-0.628208,-0.112632,0.98411,-0.264473,-1.44387,0.458799,-0.530125,1.65509,-0.584521,0.0838686,1.0278,0.17894,-0.936452,1.04556,1.46406,1.7553,-1.61592,0.408206,1.28551,-1.35474,0.81216,1
-0.711199,-1.29389,1.3946,0.263612,0.683074,-1.5365,1.01962,0.45099,1.71326,1.23225,-0.954474,-0.622917,0.392976,1.21926,1.00973,0.251899,-0.859611,-1.36724,-0.400952,1.47552,-1.63095,0.158862,1.56227,1.80682,-1.1395,0.0672754,1.10129,-1.35669,0.384017,0.490593,-0.288316,0.453135,-0.278082,-1.40705,-0.244335,-0.605348,-0.0130915,-0.822762,-1.52119,-1.57462,-0.496539,1.37704,0.457049,0.560552,0.0484593,0.538836,-1.56462,-1.23521,-0.765067,-0.706299,-0.147558,-0.269877,-0.143934,-0.849377,0.170459,1.40727,0.975027,1.49732,1.23639,-0.592272,1
0.998438,0.0105909,0.0513871,1.23227,1.24785,-0.366884,0.103733,0.901161,-0.262413,0.849449,-0.928879,-1.77033,-1.07938,-1.24257,-0.686335,-1.70172,-1.51739,0.929498,-0.310789,1.17345,0.01445,-1.11817,-1.36474,1.36629,-0.901838,0.525533,0.0571482,-1.22162,-0.678451,0.146045,0.978701,1.33572,-1.84313,-0.380033,1.27803,1.17163,-0.876423,0.538075,1.19867,0.750656,0.167381,1.33561,0.422164,1.14015,-0.590684,-1.29469,0.878089,-1.03059,1.36607,0.858435,0.54334,0.471367,-1.54248,-1.16056,0.307879,-0.358559,0.457998,-0.349656,1.20716,-1.4361,1
0.530381,-0.668505,0.555085,1.17559,0.247205,-0.392256,1.26023,-1.43278,0.772346,0.151074,-0.595426,0.605317,0.125102,1.05196,-0.140121,0.303834,1.6951,0.504941,-1.08779,-1.05226,1.04677,1.14234,1.17883,0.125309,0.719844,-0.2262,1.17126,-0.141536,1.25981,-1.22395,-0.771357,1.32293,0.0696817,1.11301,-0.831966,-0.715937,-0.474945,-1.15164,0.620352,1.75851,-0.810417,-1.28143,0.795605,-1.44327,-1.5996,-1.14592,0.91134,0.972391,1.79999,-0.765078,0.101165,-1.57826,0.873666,-1.01123,0.415767,-1.13248,-1.43817,-0.733359,-1.36067,-1.17015,1
1.20964,1.35804,1.72792,-1.28431,-0.357169,1.6924,-0.509908,-0.110882,-1.31832,0.768647,-1.41187,-0.310511,1.01143,-0.902942,1.39821,-1.57511,-0.930063,-0.776456,-0.246718,-0.455695,-1.35256,-0.201333,0.138357,-1.07939,-0.770291,0.999941,0.893976,-0.30944,-1.32683,-0.35248,0.337002,0.517498,0.989521,-0.625338,1.51448,0.921705,0.789922,0.261225,-1.53876,-0.593557,-0.209322,0.255292,0.231789,0.162583,1.06669,0.65727,0.954441,0.596458,1.62566,-0.771477,0.938406,-0.156383,-1.35224,1.51194,1.01259,0.514083,-1.38307,-0.902421,-1.49595,-1.44631,1
0.724569,0.992426,-1.09038,0.10266,-0.681565,-1.20884,-1.91988,0.84306,0.112178,1.49269,-0.715499,-0.241812,1.106,0.476924,-0.275963,0.110942,-1.3851,1.50629,-0.149869,1.25333,-1.95811,-1.55217,0.849859,1.05665,-0.384811,-0.208558,-0.0690818,1.22517,1.50709,-0.692691,0.720829,0.734211,1.38962,-0.268576,-1.54398,1.68097,1.65995,-0.583626,-1.81749,1.63319,-0.610205,-1.22599,-0.390034,0.482487,-0.300471,-0.333385,-0.593732,-0.39365,0.144289,-1.21079,0.354477,-0.968584,-0.313173,0.26584,0.0647386,0.154859,-1.56237,0.156559,0.727412,1.12112,1
-0.268848,1.91173,-1.14834,-0.29871,-1.13214,0.203322,0.917081,1.63328,1.94157,0.0671123,-1.31816,-1.12445,0.485561,1.23584,0.342378,-0.786609,0.07149,-0.077228,-0.832106,-0.0223186,0.154167,-1.03695,-0.0146263,1.24813,0.0851548,-0.349805,-1.00984,1.0435,-1.03949,0.780433,-1.63117,-1.04361,0.238563,-1.55919,-0.117159,-1.05762,0.0789634,0.765955,-1.30668,0.0943481,0.441346,-1.4796,0.593379,-0.0250704,-0.444207,-0.19871,1.15054,-0.660655,0.802384,1.98763,-1.16278,-1.04268,0.140033,1.70617,-0.530793,-0.0598734,0.644379,-1.28082,1.24813,2.04766,1
-1.48435,-0.785003,0.182506,-1.2911,0.444604,0.249626,0.215305,-0.551545,0.206168,-0.840497,0.0156122,1.87496,-0.903401,1.87991,-0.119449,1.88465,-0.317121,-0.0114762,0.810663,0.558697,-1.19408,0.947979,-1.20354,-1.16011,0.466538,-1.30302,-0.516491,1.54902,0.693114,0.107361,-0.852211,-0.863837,0.441471,-0.942115,-0.514763,-0.48337,-1.37486,-0.45391,-1.3784,0.860974,0.183501,0.733761,1.18047,-1.16775,1.85841,-0.466063,0.387382,0.190383,1.15672,1.16316,-0.285933,-1.17645,1.74183,1.64657,-1.14945,-1.10848,0.827004,-0.35153,0.937027,-1.14506,1
-1.26974,-1.04321,0.945561,-0.0779059,-0.104779,-1.45327,1.51854,0.487803,0.196732,0.982711,-1.40229,-1.45815,1.4319,0.537698,-1.047,0.11587,-0.522512,-1.33469,-0.0292043,-0.35005,0.63925,-0.587538,0.563188,1.51206,-0.078611,1.59959,-1.07019,-0.615333,0.855344,0.108413,-1.10845,-1.54072,1.53188,0.457731,-0.798045,0.597328,0.370903,0.270815,0.6069,1.50379,-1.51859,0.549847,-1.46612,1.64818,-0.0626663,0.360843,-0.555893,1.6666,-0.125008,-1.31077,-0.639738,0.294109,0.892575,-0.512858,-1.50227,1.45508,-1.28669,1.25426,0.301484,-0.384705,1
-1.34526,-1.192,0.441649,1.25128,0.0401243,-0.707149,1.08806,1.01085,-0.303295,-1.56825,0.071143,0.63213,1.24476,1.15674,0.0510464,1.09598,1.14089,0.624091,-1.37048,-0.470038,1.40518,-1.70152,-1.3704,-0.889417,1.38168,-0.681286,1.40646,-0.222238,1.49835,-0.0962414,-0.491125,1.41526,1.17512,-0.675286,0.77866,0.328787,-0.688451,0.631372,-1.42611,0.16184,0.531909,1.11695,0.811048,0.555966,0.572976,-0.206394,0.967947,-1.28334,-0.448019,-1.66922,0.240246,-1.26761,-1.02246,-1.80623,-0.961823,0.722273,-0.302013,-1.52482,0.4286,-0.288878,1
1.79914,-0.550966,0.897647,-0.51989,0.216201,-1.50605,-0.138867,0.787497,0.123578,-0.330094,-1.41963,-1.6259,1.70861,0.943673,1.82681,-0.864588,-0.882464,0.255929,0.00643043,0.70502,-0.876834,-0.680136,0.346453,-0.199492,0.391048,-0.677114,-1.83462,0.428803,-0.0376231,-0.822284,1.73489,-0.896237,-0.194371,1.22701,0.336275,-1.13324,-0.320965,0.598624,0.499575,-1.35388,-1.08756,1.39019,0.892494,-1.7378,1.00719,1.43516,0.227525,0.0610759,1.55781,0.308602,0.513252,1.55584,-0.674315,-0.88046,0.503201,-1.66913,-0.514164,0.816919,-0.917961,-0.755838,1
0.0754238,0.00218745,-1.53979,1.23867,-1.49831,1.24107,0.0927779,-1.12817,1.37714,-1.52647,1.41952,0.434648,-0.0549227,-0.991715,-0.361048,1.28344,-0.326067,0.338873,-1.66506,0.832536,-0.268656,1.23785,0.870437,1.44228,0.0147119,-0.865052,-1.0354,-1.22859,0.954888,-0.674458,1.29348,-0.186497,-0.932995,0.818811,0.840558,1.41101,-0.71506,0.78776,1.35521,-1.69922,1.08526,-1.15221,-1.6372,-0.548804,-0.862133,0.442479,-1.0333,0.259306,1.45529,0.561911,-1.13049,1.0046,0.710894,-0.391308,0.854092,-0.573362,0.199686,-0.199322,-0.282081,-1.42909,1
1.16046,1.22847,0.0265956,-0.913488,-0.905527,0.80415,-1.30642,0.188109,-0.740372,-1.23011,-0.21453,0.0617439,-1.33535,-1.55875,-1.55979,-0.261,-0.794266,1.2377,1.34831,-1.04403,1.70307,-0.482109,1.11348,0.455913,0.210722,-0.827749,0.621887,0.153807,1.75731,-0.109509,1.32322,0.635269,-0.138644,-1.39422,0.118151,-1.16077,1.71727,-1.61369,0.476946,-1.01312,0.0245347,-0.0508437,0.953128,1.60387,-0.449671,-1.16543,0.68936,-0.681791,-0.411728,-0.61429,-1.33357,1.61869,1.63735,0.630695,-0.884156,0.356595,1.21633,-0.818319,-0.151602,0.0916976,1
0.585665,1.41968,-0.754701,-1.42319,0.356301,-0.419463,-0.583708,0.158256,-0.475789,-1.57917,0.165559,1.49339,-1.40838,-0.247711,-1.59246,-0.484261,-0.216597,-1.51244,-0.63197,-0.130969,1.30306,-1.44387,0.914154,-0.679941,1.31647,-0.367637,-1.34498,0.779095,-0.967558,-0.391885,0.0565595,1.27379,-0.420515,-0.264421,-1.09426,0.446428,-0.499482,1.12625,0.315313,1.56064,1.74966,0.624608,-1.61276,-0.14654,-1.65545,-0.649908,0.242803,0.528054,1.19663,0.287326,-1.46406,1.46172,-0.490163,1.1874,0.221564,0.502404,1.61043,1.34469,-0.368484,1.09482,1
0.910351,-0.703019,0.116439,-1.07494,-1.53542,-0.77924,0.558171,1.64523,-1.34889,0.429711,-0.543018,0.737019,0.07836,-0.371345,0.329699,-0.999994,-1.57373,-0.541168,1.26566,1.39613,-1.61155,1.93261,-0.247796,-0.866368,0.498693,0.46696,1.70449,-1.29958,-1.06359,0.375144,-1.15601,0.0272057,1.46686,-0.177507,-0.549811,-1.2675,0.159174,-0.519386,-0.123419,1.05791,-0.024108,-0.253409,1.04678,-0.19543,-0.660156,0.0397392,-0.466191,-0.343344,-0.928907,1.25207,-0.126927,1.82781,-0.961469,-0.996008,0.739953,1.87629,1.35585,-0.518557,1.64169,-1.1082,1
-1.00673,0.597641,-0.0341061,-0.752495,0.14024,0.350968,-0.612937,-1.04727,-1.24915,-1.17029,2.13347,0.169496,-0.144971,-1.5198,-0.968974,0.193844,-1.18661,0.697942,-0.985509,-1.32457,1.93906,-1.03292,1.28584,0.749952,-1.23743,0.479056,-1.37415,1.93399,0.297708,0.188437,-0.717269,0.0283435,0.038783,-1.3738,0.328026,-1.5789,2.13278,-1.28725,1.45056,0.905482,-0.214078,1.43105,-0.400364,0.0113402,-0.544767,-0.460157,0.796211,0.339841,0.209347,0.470335,0.804462,-0.0839282,1.24533,-1.39631,1.07051,1.13915,-0.400489,-0.464752,0.340185,0.670624,1
-0.534433,0.465009,0.567718,-0.102884,-1.41535,-0.125402,-1.28646,1.1516,1.58369,-0.585057,1.77043,1.6061,-0.23387,0.257557,-0.0369322,-0.620812,1.04009,1.18927,0.0705898,0.913319,0.54308,-0.741398,-0.214818,0.078182,-1.05437,-0.924756,1.6144,0.6708,0.883752,-1.01999,-0.356863,-0.320134,0.0947988,-0.127293,1.74487,-1.35095,0.91816,1.46892,-0.126777,-1.57138,-0.00292513,0.744973,-0.710027,-0.167804,-1.47216,-1.28826,-1.32614,-0.0354425,-0.0805943,-0.748962,0.939189,-0.159581,1.15612,-0.742544,-1.578,-0.729079,1.67468,-1.36138,-1.52843,1.53393,1
0.801423,0.857837,1.16867,-1.04901,0.651374,-1.54858,0.511642,0.465296,-0.35071,1.01071,0.361121,-0.173397,0.437283,-1.45558,-1.49552,-1.56059,-0.518982,1.28571,0.394931,-0.0226548,0.753745,0.725843,-0.366409,0.934831,1.11084,-1.11186,0.698136,1.28876,-1.22704,1.6544,-0.665425,-1.33898,1.24039,0.441166,1.23041,1.13139,0.623999,1.57272,1.06438,-1.27064,-0.488639,0.826884,-0.789181,-1.16053,-1.38278,-0.790013,1.55663,-1.19831,-0.698958,0.825636,-0.387682,0.939407,-1.05225,-1.21747,-0.143748,0.0357007,-1.07782,0.140818,-0.625403,-1.57393,1
-0.928563,0.874282,-0.248393,1.22322,0.676004,1.6615,-1.10564,-0.8254,-0.921639,-0.512237,-0.0274595,-0.0564617,-0.186501,1.46656,0.0183671,-0.661894,1.75631,-0.907912,-0.100496,1.10223,-1.6135,-0.385447,-1.64952,0.562029,1.72986,0.354155,0.058302,-0.803868,-0.898984,0.163682,0.00175532,-0.912498,-0.558974,1.56305,-0.569786,1.12164,-1.01776,-0.908489,1.06642,-0.262787,1.10624,-1.24224,-1.27972,1.75139,0.522884,-1.64496,0.255122,-0.0585875,0.858793,-0.896645,0.429196,-1.66346,1.36285,0.31012,1.02151,1.62949,-0.108423,0.00676617,-1.58149,-0.114011,1
-1.39276,1.51638,-0.976873,-0.338064,1.57896,-1.67709,1.56397,-0.0403152,-0.656884,0.208385,-0.865414,0.364383,0.0786818,0.156995,-0.273056,0.607915,0.458741,-1.78573,0.373919,-0.81351,0.138551,1.39433,1.60109,0.248412,-1.30155,0.644517,1.37988,-0.472164,0.483894,-0.301377,-1.67972,0.961566,-0.463342,0.590728,1.20416,0.542593,0.981694,0.0456493,-0.981898,-0.645464,-0.469423,1.14786,-1.48001,-0.484726,-1.05088,-1.6882,1.0493,0.316561,0.0219527,-1.64229,1.56566,-0.182152,-0.364787,1.36258,-1.569,-1.43302,0.655508,0.653538,0.728397,0.402954,1
-0.125767,0.396194,0.217121,1.50025,-0.109464,0.276793,0.384155,-0.711346,1.05551,-0.383252,-0.32477,-0.981943,-1.43298,-0.409041,1.09822,-1.75449,-0.78996,0.674363,-1.66479,0.934923,-0.587477,0.842123,-0.969904,-1.3566,0.233221,1.65876,-0.0220305,-1.73284,1.35677,0.54652,0.28213,-1.28544,1.69647,1.63352,0.663687,-1.35181,1.03909,-0.963406,1.68849,0.497842,-1.08484,-0.114367,1.45381,-1.36501,-0.905649,-0.942838,-1.48081,0.689274,-1.56645,0.848418,0.624931,0.0835628,-0.105867,-0.438979,-0.398366,1.1272,0.531174,0.261244,0.282536,0.782161,1
0.360253,-0.980453,-1.39394,-1.5307,-0.806124,-1.33421,-0.0412101,-1.02645,-0.403364,1.63539,-1.615,0.0907153,1.49637,0.411232,-1.13899,-1.15988,1.03895,0.62213,0.528099,1.13029,0.639869,0.196975,-0.607455,1.69309,-1.29166,1.13233,-0.435955,-1.32045,-0.508975,-0.0923655,-0.0979053,0.478211,0.151418,0.096874,-0.825838,-1.72592,-0.924937,0.304855,0.777953,0.19394,0.249014,0.975768,-0.148972,1.27572,0.971318,0.930093,1.19359,-0.710679,1.56246,-1.18661,1.18384,1.56214,-0.484223,-1.32207,-0.158402,1.64494,-0.334116,-0.577929,1.04113,-1.38419,1
